city,lat,Lon,temp,humidity,Wind_speed,Cloudiness,Country_code,Date
narasannapeta,18.42,84.05,26.56,88,2.92,0,IN,1602856975
ballina,-28.87,153.57,17.0,93,1.98,0,AU,1602857083
tocopilla,-22.09,-70.2,21.46,42,5.29,99,CL,1602857083
barcelos,41.54,-8.62,18.33,59,3.6,79,PT,1602857083
cody,44.53,-109.06,-4.0,79,1.5,1,US,1602857083
trofors,65.53,13.41,9.0,81,1.0,75,NO,1602857084
bridlington,54.08,-0.19,12.0,71,3.6,67,GB,1602857084
matamoros,25.53,-103.25,20.0,49,4.96,40,MX,1602856928
beringovskiy,63.05,179.32,3.96,82,5.78,0,RU,1602857084
port lincoln,-34.73,135.87,12.17,81,6.3,100,AU,1602856896
ahuimanu,21.44,-157.84,25.0,83,1.5,1,US,1602857084
doha,25.29,51.53,32.22,40,6.2,0,QA,1602856857
brownwood,31.71,-98.99,12.0,41,5.82,1,US,1602857084
fryanovo,56.13,38.45,5.0,75,4.0,75,RU,1602857085
casper,42.87,-106.31,-2.0,63,5.7,1,US,1602857085
touros,-5.2,-35.46,30.0,55,5.7,75,BR,1602857085
banda aceh,5.56,95.32,27.67,72,5.38,60,ID,1602857085
chapais,49.78,-74.85,1.0,100,3.1,90,CA,1602857085
santa luzia,-19.77,-43.85,22.0,73,5.7,75,BR,1602857085
shakawe,-18.37,21.85,37.18,9,4.71,0,BW,1602857085
cururupu,-1.83,-44.87,29.72,65,3.49,100,BR,1602857086
aklavik,68.22,-135.01,-6.0,73,6.2,90,CA,1602857086
bodden town,19.28,-81.25,30.0,79,3.6,20,KY,1602857086
bowen,-20.02,148.23,18.0,82,3.1,40,AU,1602857086
hovd,48.01,91.64,3.37,61,0.31,67,MN,1602856858
ostersund,63.18,14.64,7.0,70,6.2,75,SE,1602856962
haines junction,60.75,-137.51,-3.66,91,2.54,100,CA,1602857086
zomin,39.96,68.4,15.74,32,1.47,0,UZ,1602856967
reyes,-14.32,-67.38,28.0,88,4.1,90,BO,1602857087
magdalena,14.2,121.43,29.0,79,2.1,20,PH,1602857087
invermere,50.52,-116.04,0.9,89,1.86,100,CA,1602857087
jalu,29.03,21.55,36.56,13,3.8,0,LY,1602857087
sao miguel do araguaia,-13.28,-50.16,36.61,29,3.11,17,BR,1602857084
kalmunai,7.42,81.82,27.65,79,2.79,18,LK,1602857087
mingshui,36.72,117.5,15.0,53,0.45,0,CN,1602857088
usinsk,65.99,57.53,-1.83,97,5.45,100,RU,1602857088
corinto,37.94,22.96,24.44,60,2.24,8,GR,1602857088
vilhena,-12.74,-60.15,29.1,51,2.54,100,BR,1602857088
cayenne,4.93,-52.33,31.0,58,3.1,9,GF,1602857088
egvekinot,66.32,-179.17,0.71,100,0.68,100,RU,1602857088
dargaville,-35.93,173.88,7.58,85,0.71,16,NZ,1602857088
ariquemes,-9.91,-63.04,31.29,53,2.53,87,BR,1602857088
gat,31.61,34.76,27.22,57,2.24,0,IL,1602857089
changji,44.02,87.32,12.0,32,1.0,22,CN,1602857061
clyde river,70.47,-68.59,0.0,95,4.1,90,CA,1602857089
kirovskiy,45.09,133.51,3.78,91,2.01,77,RU,1602857089
praia,14.92,-23.51,31.0,62,4.1,20,CV,1602856901
salalah,17.02,54.09,29.0,70,4.1,0,OM,1602856946
santander jimenez,24.22,-98.47,25.32,70,4.87,32,MX,1602857090
cidreira,-30.18,-50.21,20.08,68,6.82,8,BR,1602857090
nemuro,43.32,145.57,10.6,62,2.66,99,JP,1602857090
qandala,11.47,49.87,30.15,42,1.3,0,SO,1602857090
erenhot,43.65,111.98,8.69,43,8.07,0,CN,1602856904
ponta do sol,32.67,-17.1,23.0,56,5.1,40,PT,1602857091
carutapera,-1.2,-46.02,29.2,67,3.91,100,BR,1602857091
sechura,-5.56,-80.82,20.02,72,3.86,68,PE,1602857091
puro,12.48,123.38,26.85,78,1.12,99,PH,1602857092
evensk,61.95,159.23,1.28,84,4.88,31,RU,1602857092
porto novo,6.5,2.6,29.0,79,5.7,40,BJ,1602856804
high level,58.52,-117.14,-10.0,85,2.1,5,CA,1602857093
fortuna,40.6,-124.16,10.0,87,2.1,1,US,1602857093
gusau,12.16,6.66,35.8,26,3.35,5,NG,1602857093
bajna,27.9,77.68,28.96,22,2.27,0,IN,1602857024
cutervo,-6.38,-78.82,14.94,75,2.91,45,PE,1602857093
waddan,29.16,16.14,38.04,9,6.44,73,LY,1602857093
verkhoyansk,67.54,133.38,-12.25,91,1.77,100,RU,1602856802
melchor de mencos,17.07,-89.15,23.0,100,0.41,75,GT,1602857094
valleyview,55.07,-117.29,-2.27,97,3.52,100,CA,1602857094
chama,47.18,8.46,10.0,81,0.5,90,CH,1602857094
hervey bay,-25.3,152.85,18.89,77,2.6,0,AU,1602857094
ulaanbaatar,47.91,106.88,-3.0,63,2.0,58,MN,1602857036
kamenka,51.32,42.77,19.44,47,4.98,100,RU,1602857094
belyy yar,53.6,91.39,4.0,93,1.0,18,RU,1602857095
moissac,44.1,1.09,13.33,66,2.1,90,FR,1602857095
svejbaek,56.13,9.63,12.0,66,3.6,54,DK,1602857095
mineiros,-17.57,-52.55,30.71,42,1.93,45,BR,1602857095
balikpapan,-1.27,116.83,26.21,86,1.43,76,ID,1602856828
westport,41.14,-73.36,18.33,77,5.7,90,US,1602856949
sao joao da barra,-21.64,-41.05,23.0,83,5.1,90,BR,1602857095
bondo,3.81,23.69,21.11,93,1.39,98,CD,1602857095
nueva loja,0.08,-76.88,25.0,88,1.5,75,EC,1602857096
imbituba,-28.24,-48.67,23.0,49,5.7,40,BR,1602857096
